query_id,query_type,delta_p5,delta_r10,delta_ndcg,delta_mrr,improved,degraded,all_metrics_improved
Q-01,SINGLE_HOP,-0.39999999999999997,-1.0,-0.693426403617271,0.0,False,True,False
Q-02,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-03,SINGLE_HOP,0.0,0.5,0.3065735963827292,0.0,True,False,True
Q-04,SINGLE_HOP,-0.39999999999999997,-0.6666666666666666,-0.43173388439831284,0.0,False,True,False
Q-05,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-06,SINGLE_HOP,0.0,0.0,0.08027921085181244,0.16666666666666669,True,False,True
Q-07,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-27,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-30,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-34,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-08,MULTI_HOP,0.0,0.0,0.03253201651083082,0.0,True,False,True
Q-09,MULTI_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-10,MULTI_HOP,-0.2,0.0,-0.061442547954487,0.0,False,True,False
Q-11,MULTI_HOP,0.0,-0.33333333333333337,-0.16716045496620235,0.0,False,True,False
Q-12,MULTI_HOP,-0.4,-0.6666666666666666,-0.43674670951192573,0.0,False,True,False
Q-29,MULTI_HOP,-0.4,-0.6666666666666667,-0.3836491390379002,0.0,False,True,False
Q-31,MULTI_HOP,-0.20000000000000007,-0.33333333333333326,-0.2021073465005474,0.0,False,True,False
Q-35,MULTI_HOP,0.0,0.0,0.061442547954487,0.0,True,False,True
Q-13,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-14,AUTHORITY,-0.19999999999999996,-0.5,-0.1837889117207785,0.0,False,True,False
Q-15,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-16,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-17,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-18,TEMPORAL,-0.2,-0.5,-0.26406812257259094,0.0,False,True,False
Q-19,TEMPORAL,0.0,0.0,0.0,0.0,False,False,True
Q-20,TEMPORAL,-0.2,-1.0,-0.45560514958746046,0.0,False,True,False
Q-21,TEMPORAL,-0.19999999999999996,-1.0,-0.4556051495874609,0.0,False,True,False
Q-22,TEMPORAL,-0.19999999999999996,-0.5,-0.3065735963827294,0.0,False,True,False
Q-23,TEMPORAL,-0.19999999999999996,-0.5,0.19216056827538375,0.6666666666666667,True,True,False
Q-24,EXPLORATORY,0.0,0.25,0.13905617951077562,0.1111111111111111,True,False,True
Q-25,EXPLORATORY,-0.19999999999999996,0.0,-0.056133845485275335,0.0,False,True,False
Q-26,EXPLORATORY,-0.2,-0.33333333333333337,0.15208496005295602,0.6666666666666667,True,True,False
Q-32,EXPLORATORY,-0.2,-0.5,-0.2809726776200528,0.0,False,True,False
Q-33,EXPLORATORY,0.2,0.0,0.12892145599966298,0.0,True,False,True
Q-36,EXPLORATORY,-0.19999999999999996,-0.6666666666666666,-0.25472768303823723,0.0,False,True,False
